dataset_name,dataset_scale,hits_at_10,hits_at_100,hits_at_50,memory_delta_mb,memory_mb,method_name,runtime_seconds,seed,split,status,timestamp
ogbl-collab,1.0,0.05732910272183729,0.25819680977357595,0.18057803967277516,733.76171875,1767.4765625,mlp,107.63785085699783,42,test,completed,20260502_204001
ogbl-collab,1.0,0.08965781239597896,0.30956660675054926,0.22636642034485055,733.76171875,1767.4765625,mlp,107.63785085699783,42,valid,completed,20260502_204001
ogbl-collab,1.0,0.23678473526301022,0.504306158129897,0.442811198169613,405.3984375,2161.29296875,gcn,1120.974981872001,42,test,completed,20260502_205842
ogbl-collab,1.0,0.30064576259902803,0.5840656414353239,0.522601690965981,405.3984375,2161.29296875,gcn,1120.974981872001,42,valid,completed,20260502_205842
ogbl-collab,1.0,0.34218308187096635,0.5455977897213409,0.5145589155820328,316.9140625,1350.32421875,common_neighbors,1.4309521689938265,42,test,completed,20260502_210618
ogbl-collab,1.0,0.4385526928966114,0.6491578456827108,0.6201817455562213,316.9140625,1350.32421875,common_neighbors,1.4309521689938265,42,valid,completed,20260502_210618
ogbl-collab,0.1,0.07435947246864814,0.07537395583759632,0.0746400742515487,55.87109375,1094.015625,common_neighbors,0.4045190460001322,42,test,completed,20260503_123315
ogbl-collab,0.1,0.10442047799747022,0.10538579322282138,0.10490313561014579,55.87109375,1094.015625,common_neighbors,0.4045190460001322,42,valid,completed,20260503_123315
ogbl-collab,0.5,0.2469943232100844,0.39549742062207255,0.3952384035917028,151.46484375,1222.29296875,common_neighbors,1.0047921929999575,42,test,completed,20260503_123316
ogbl-collab,0.5,0.32076759203781374,0.48588642567072765,0.4856367751814127,151.46484375,1222.29296875,common_neighbors,1.0047921929999575,42,valid,completed,20260503_123316
ogbl-collab,1.0,0.34218308187096635,0.5455977897213409,0.5145589155820328,294.4453125,1351.9453125,common_neighbors,1.393899476000115,42,test,completed,20260503_123318
ogbl-collab,1.0,0.4385526928966114,0.6491578456827108,0.6201817455562213,294.4453125,1351.9453125,common_neighbors,1.393899476000115,42,valid,completed,20260503_123318
ogbl-collab,0.1,0.01670659845884867,0.060437307086274254,0.03889572406052365,661.34375,1751.26171875,mlp,11.280184168999767,42,test,completed,20260503_123329
ogbl-collab,0.1,0.02816057519472738,0.08667864989015378,0.05795220025297916,661.34375,1751.26171875,mlp,11.280184168999767,42,valid,completed,20260503_123329
ogbl-collab,0.5,0.036197629994172115,0.22480519760840942,0.13058775281141402,0.9921875,1803.51953125,mlp,53.39388784499988,42,test,completed,20260503_123423
ogbl-collab,0.5,0.05953332001864057,0.27196924305971637,0.16708275081552493,0.9921875,1803.51953125,mlp,53.39388784499988,42,valid,completed,20260503_123423
ogbl-collab,1.0,0.05732910272183729,0.25819680977357595,0.18057803967277516,17.87890625,1821.3984375,mlp,106.67477443400003,42,test,completed,20260503_123610
ogbl-collab,1.0,0.08965781239597896,0.30956660675054926,0.22636642034485055,17.87890625,1821.3984375,mlp,106.67477443400003,42,valid,completed,20260503_123610
ogbl-collab,0.1,0.09922510738414383,0.29914308532452677,0.2320145049537007,368.26953125,2189.66796875,gcn,51.17571421199955,42,test,completed,20260503_123701
ogbl-collab,0.1,0.12422608348312363,0.3491944610878104,0.27248518740430067,368.26953125,2189.66796875,gcn,51.17571421199955,42,valid,completed,20260503_123701
ogbl-collab,0.5,0.22171857799650327,0.4740875045867599,0.41747069869843945,7.82421875,2196.578125,gcn,411.28384122900025,42,test,completed,20260503_124352
ogbl-collab,0.5,0.28749750349510683,0.5520105186072831,0.49615538246454965,7.82421875,2196.578125,gcn,411.28384122900025,42,valid,completed,20260503_124352
ogbl-collab,1.0,0.2939195752120702,0.5286537589846533,0.45504975285458354,2.2421875,2191.6015625,gcn,1144.6654320439993,42,test,completed,20260503_130257
ogbl-collab,1.0,0.3624259370215032,0.6123094334598229,0.5395779242393982,2.2421875,2191.6015625,gcn,1144.6654320439993,42,valid,completed,20260503_130257
